t,reproj_rms_px,reproj_feats
65.1865,4.22364,28
65.2532,3.17698,20
65.3199,4.20294,65
65.3867,3.23798,42
65.4534,6.65547,78
65.5201,5.89307,34
65.5869,5.07107,133
65.6536,10.7479,63
65.7203,8.97948,40
65.7871,7.93114,27
65.8538,15.8451,30
65.9205,10.3381,93
65.9873,12.0958,171
66.054,9.458,119
66.1207,8.49928,50
66.1875,9.53481,38
66.2542,6.04964,11
66.3209,5.29526,29
66.3877,8.99661,72
66.4544,5.51318,15
66.5211,8.42852,24
66.5879,12.5401,18
66.6546,9.22188,26
66.7213,16.6492,3
66.7881,9.93851,14
66.8548,12.4987,24
66.9215,8.5445,16
66.9883,7.66763,15
67.055,12.4464,21
67.1217,10.2121,5
67.1885,7.47677,17
67.2552,9.77656,46
67.3219,7.50143,3
67.3887,4.96964,5
67.4554,11.6166,1
67.5221,6.66677,9
67.5889,7.79941,30
67.6556,5.64428,60
67.7223,4.19548,26
67.7891,5.92054,18
67.8558,4.08918,45
67.9225,4.25779,6
67.9893,6.62614,2
68.056,3.99621,14
68.1227,3.05658,24
68.1895,3.91392,11
68.2562,3.94599,24
68.3229,2.95032,8
68.3897,1.72955,2
68.4564,2.85955,9
68.5231,4.05606,5
68.5899,1.58464,4
68.6566,3.66479,6
68.7233,2.78506,12
68.7901,3.33796,23
68.8568,3.77301,14
68.9235,3.55238,23
68.9903,2.26247,17
69.057,2.67992,13
69.1237,2.94495,29
69.1905,3.36024,25
69.2572,5.17437,60
69.3239,2.96258,42
69.3907,6.18206,13
69.4574,4.89086,14
69.5241,9.07143,16
69.5909,6.02594,8
69.6576,4.53305,49
69.7243,9.8988,73
69.7911,7.77084,28
69.8578,6.42124,22
69.9245,9.96893,33
69.9913,10.8506,17
70.058,8.69947,12
70.1247,8.31473,9
70.1915,11.2064,24
70.2582,11.8835,6
70.3249,10.2436,15
70.3917,10.1843,12
70.4584,9.31347,6
70.5251,3.87402,2
70.5919,3.87402,2
70.6586,5.96913,1
70.7253,7.41183,3
70.7921,4.19714,5
70.8588,4.19714,5
70.9255,3.44468,6
70.9923,3.33048,7
71.059,2.81851,5
71.1257,2.82696,9
71.1925,1.52609,2
71.2592,1.52609,2
71.3259,4.00228,6
71.3927,3.89487,7
71.4594,4.57141,14
71.5261,1.77785,5
71.5929,1.67332,9
71.6596,3.68594,28
71.7263,2.65438,13
71.7931,3.13504,14
71.8598,3.34957,18
71.9265,2.02988,7
71.9933,3.89233,52
72.06,3.47273,22
72.1267,2.60131,3
72.1935,2.54369,2
72.2602,2.63646,23
72.3269,2.96494,33
72.3937,3.55037,70
72.4604,2.95343,17
72.5271,1.34388,8
72.5939,2.90582,29
72.6606,5.09516,4
72.7273,2.8725,14
72.7941,3.79363,22
72.8608,3.54372,52
72.9275,3.06076,49
72.9943,5.35334,41
73.061,4.40521,57
73.1277,7.67922,30
73.1945,4.01876,40
73.2612,3.70399,67
73.3279,3.8438,63
73.3947,2.83547,9
73.4614,3.32057,26
73.5281,3.20424,15
73.5949,3.16715,33
73.6616,4.47293,14
73.7283,7.76421,32
73.7951,3.0263,10
73.8618,5.02398,36
73.9285,1.75725,14
73.9953,1.54813,11
74.062,3.43652,31
74.1287,3.19373,61
74.1955,3.05734,30
74.2622,3.51824,76
74.3289,2.71954,28
74.3957,3.16132,39
74.4624,4.3392,52
74.5291,2.28214,7
74.5959,4.55573,5
74.6626,3.0685,18
74.7293,2.32062,23
74.7961,1.61946,96
74.8628,2.06911,12
74.9295,1.27928,23
74.9963,1.19312,14
75.063,2.598,16
75.1297,3.09006,7
75.1965,3.4851,20
75.2632,2.40674,2
75.3299,1.75297,7
75.3967,2.70321,21
75.4634,2.19151,8
75.5301,2.13041,19
75.5969,1.44022,10
75.6636,2.5006,7
75.7303,0.801121,1
75.7971,2.92344,38
75.8638,2.99905,11
75.9305,2.95871,49
75.9973,3.71403,49
76.064,3.30369,14
76.1307,5.37436,42
76.1975,6.87669,69
76.2642,5.27788,16
76.3309,2.5801,3
76.3977,7.00575,3
76.4644,10.1709,39
76.5311,3.58424,3
76.5979,5.7385,28
76.6646,4.53119,12
76.7313,5.57341,3
76.7981,6.53047,6
76.8648,4.76379,17
76.9315,4.74668,10
76.9983,9.56076,6
77.065,3.07963,10
77.1317,5.76751,9
77.1985,4.03359,2
77.2652,3.67671,3
77.3319,3.52303,4
77.3987,2.27424,0
77.4654,4.10536,1
77.5321,3.48123,10
77.5989,2.42934,15
77.6656,3.46174,19
77.7323,2.30506,6
77.7991,3.0894,7
77.8658,2.62769,12
77.9325,3.01537,17
77.9993,3.23526,68
78.066,3.56812,19
78.1327,3.087,26
78.1995,2.56542,13
78.2662,3.23165,18
78.3329,3.80868,25
78.3997,3.56281,12
78.4664,1.75652,2
78.5331,1.90346,3
78.5999,2.95309,16
